CDT Max_TemperatureF Min_TemperatureF
6-Oct 50 39
7-Oct 73 41
8-Oct 77 45
9-Oct 73 49
10-Oct 75 43
11-Oct 76 53
12-Oct 66 44
13-Oct 63 36
14-Oct 65 37
15-Oct 59 49
16-Oct 51 46
17-Oct 61 41
18-Oct 51 39
19-Oct 52 35
20-Oct 58 34
21-Oct 47 26
22-Oct 38 25
23-Oct 44 27
24-Oct 42 25
25-Oct 54 22
26-Oct 52 29
27-Oct 58 23
28-Oct 55 34
29-Oct 59 37
30-Oct 60 52
31-Oct 61 42
1-Nov 51 39
2-Nov 51 30
3-Nov 55 31
4-Nov 52 45
5-Nov 56 47
6-Nov 57 26
7-Nov 47 24
8-Nov 49 22
9-Nov 54 35
10-Nov 46 26
11-Nov 45 18
12-Nov 28 11
13-Nov 46 13
14-Nov 51 30
15-Nov 56 29
16-Nov 62 41
17-Nov 59 38
18-Nov 42 26
19-Nov 46 22
20-Nov 38 36
21-Nov 43 31
22-Nov 32 15
23-Nov 20 5
24-Nov 27 4
25-Nov 34 21
26-Nov 30 12
27-Nov 23 6
28-Nov 32 14
29-Nov 35 9
30-Nov 48 27
1-Dec 45 25
2-Dec 42 29
3-Dec 44 35
4-Dec 49 22
5-Dec 22 10
6-Dec 14 4
7-Dec 14 -3
8-Dec 20 11
9-Dec 18 -10
10-Dec 17 -6
11-Dec 17 -11
12-Dec 21 -8
13-Dec 25 4
14-Dec 24 13
15-Dec 14 6
16-Dec 22 11
17-Dec 33 12
18-Dec 41 11
19-Dec 36 24
20-Dec 32 23
21-Dec 28 23
22-Dec 28 4
23-Dec 5 -10
24-Dec 15 -18
25-Dec 27 14
26-Dec 34 11
27-Dec 41 12
28-Dec 42 26
29-Dec 33 -5
30-Dec 7 -9
31-Dec 10 -9
1-Jan 12 6
2-Jan 9 -11
3-Jan 24 -15
4-Jan 33 14
5-Jan 14 -12
6-Jan 8 -17
7-Jan 8 -11
8-Jan 9 -5
9-Jan 23 -3
10-Jan 34 23
11-Jan 32 24
12-Jan 42 21
13-Jan 36 26
14-Jan 36 14
15-Jan 25 7
16-Jan 35 7
17-Jan 16 4
18-Jan 23 4
19-Jan 42 9
20-Jan 36 12
21-Jan 12 -7
22-Jan 14 -4
23-Jan 1 -10
24-Jan 35 -7
25-Jan 36 7
26-Jan 36 0
27-Jan 20 -12
28-Jan 11 -13
29-Jan 32 -4
30-Jan 37 8
31-Jan 11 3
1-Feb 20 7
2-Feb 8 -8
3-Feb 20 -12
4-Feb 18 10
5-Feb 14 -6
6-Feb 4 -12
7-Feb 13 -11
8-Feb 17 10
9-Feb 12 -10
10-Feb 1 -19
11-Feb 8 -21
12-Feb 18 6
13-Feb 37 11
14-Feb 15 -2
15-Feb 19 -6
16-Feb 24 18
17-Feb 35 20
18-Feb 45 15
19-Feb 40 21
20-Feb 37 29
21-Feb 31 19
22-Feb 25 14
23-Feb 20 10
24-Feb 17 6
25-Feb 13 -1
26-Feb 20 -8
27-Feb 11 -4
28-Feb 30 -5
1-Mar 20 1
2-Mar 2 -11
3-Mar 11 -15
4-Mar 26 8
5-Mar 22 18
6-Mar 29 14
7-Mar 41 23
8-Mar 35 20
9-Mar 44 16
10-Mar 58 38
11-Mar 46 35
12-Mar 35 22
13-Mar 57 19
14-Mar 52 32
15-Mar 44 27
16-Mar 31 19
17-Mar 40 18
18-Mar 52 31
19-Mar 41 25
20-Mar 50 22
21-Mar 58 30
22-Mar 35 22
23-Mar 31 15
24-Mar 35 18
25-Mar 27 13
26-Mar 45 12
27-Mar 51 37
28-Mar 38 32
29-Mar 51 32
30-Mar 65 31
31-Mar 68 31
1-Apr 44 24
2-Apr 53 30
3-Apr 46 36
4-Apr 41 29
5-Apr 53 22
6-Apr 61 36
7-Apr 63 39
8-Apr 57 34
9-Apr 69 27
10-Apr 65 42
11-Apr 74 30
12-Apr 84 54
13-Apr 60 41
14-Apr 41 27
15-Apr 40 24
16-Apr 59 32
17-Apr 51 31
18-Apr 62 26
19-Apr 75 37
20-Apr 81 54
21-Apr 68 48
22-Apr 62 40
23-Apr 51 40
24-Apr 55 44
25-Apr 71 36
26-Apr 69 44
27-Apr 68 40
28-Apr 55 48
29-Apr 53 38
30-Apr 46 36
1-May 49 41
2-May 63 43
3-May 69 41
4-May 59 42
5-May 67 45
6-May 72 42
7-May 85 55
8-May 77 65
9-May 67 45
10-May 79 45
11-May 75 56
12-May 80 50
13-May 55 42
14-May 57 37
15-May 55 42
16-May 52 37
17-May 62 33
18-May 70 41
19-May 75 52
20-May 84 62
21-May 82 58
22-May 74 49
23-May 76 49
24-May 75 50
25-May 78 53
26-May 79 64
27-May 85 60
28-May 80 63
29-May 83 59
30-May 86 61
31-May 88 61
1-Jun 88 69
2-Jun 82 63
3-Jun 78 57
4-Jun 71 58
5-Jun 76 54
6-Jun 82 57
7-Jun 77 60
8-Jun 71 56
9-Jun 75 55
10-Jun 69 61
11-Jun 80 61
12-Jun 74 57
13-Jun 76 45
14-Jun 79 53
15-Jun 82 66
16-Jun 85 61
17-Jun 85 64
18-Jun 83 68
19-Jun 82 67
20-Jun 86 63
21-Jun 82 67
22-Jun 80 63
23-Jun 78 64
24-Jun 83 62
25-Jun 84 62
26-Jun 78 64
27-Jun 82 67
28-Jun 84 67
29-Jun 82 67
30-Jun 83 61
1-Jul 77 60
2-Jul 65 53
3-Jul 75 50
4-Jul 76 51
5-Jul 66 61
6-Jul 85 65
7-Jul 85 63
8-Jul 79 61
9-Jul 78 55
10-Jul 81 58
11-Jul 77 63
12-Jul 85 65
13-Jul 84 66
14-Jul 75 53
15-Jul 69 51
16-Jul 74 49
17-Jul 77 52
18-Jul 78 56
19-Jul 79 58
20-Jul 81 62
21-Jul 86 67
22-Jul 89 70
23-Jul 81 60
24-Jul 78 57
25-Jul 77 61
26-Jul 83 65
27-Jul 76 63
28-Jul 75 57
29-Jul 78 52
30-Jul 80 53
31-Jul 81 56
1-Aug 83 57
2-Aug 83 59
3-Aug 82 58
4-Aug 85 65
5-Aug 75 64
6-Aug 75 61
7-Aug 75 65
8-Aug 80 63
9-Aug 83 62
10-Aug 82 59
11-Aug 77 59
12-Aug 78 54
13-Aug 82 51
14-Aug 81 60
15-Aug 75 60
16-Aug 77 64
17-Aug 84 59
18-Aug 83 62
19-Aug 85 63
20-Aug 75 59
21-Aug 81 69
22-Aug 87 72
23-Aug 80 71
24-Aug 91 68
25-Aug 89 74
26-Aug 81 65
27-Aug 78 64
28-Aug 73 64
29-Aug 86 66
30-Aug 80 63
31-Aug 86 61
1-Sep 80 61
2-Sep 79 58
3-Sep 84 55
4-Sep 89 67
5-Sep 78 55
6-Sep 74 50
7-Sep 76 49
8-Sep 74 51
9-Sep 76 61
10-Sep 73 50
11-Sep 60 47
12-Sep 51 39
13-Sep 59 35
14-Sep 67 39
15-Sep 66 44
16-Sep 66 39
17-Sep 71 44
18-Sep 72 45
19-Sep 75 49
20-Sep 79 58
21-Sep 66 47
22-Sep 70 41
23-Sep 73 44
24-Sep 68 56
25-Sep 78 56
26-Sep 80 54
27-Sep 81 56
28-Sep 82 55
29-Sep 82 53
30-Sep 65 52
1-Oct 68 51
2-Oct 68 56
3-Oct 56 37
4-Oct 52 33
5-Oct 57 34
6-Oct 46 39
